Price per m2 (dollars);LCI
198,975;0,88019712
357,707;0,886231618
153,552;0,886231618
240,326;0,836293274
150;0,882817917
47,9;0,79470071
47,916;0,79470071
48,907;0,79470071
48,608;0,79470071
91,175;0,79470071
90,323;0,79470071
88,385;0,79470071
87,843;0,876385459
94,452;0,876385459
95,116;0,876385459
181,468;0,876385459
91,063;0,876385459
103,276;0,79470071
68,111;0,79470071
48,109;0,87384356
49,229;0,87384356
44,611;0,79470071
70,192;0,836293274
90,394;0,79470071
89,167;0,79470071
92,003;0,79470071
92,776;0,79470071
91,248;0,79470071
91,74;0,79470071
89,745;0,79470071
89,812;0,79470071
89,016;0,79470071
87,893;0,79470071
67,583;0,79470071
90,141;0,79470071
90,245;0,79470071
88,608;0,79470071
70,07;0,79470071
81,515;0,79470071
91,541;0,79470071
353,815;0,79470071
86,191;0,794867449
70,025;0,886231618
70,014;0,865305752
70,014;0,865305752
37,939;0,865305752
70,394;0,865305752
84,768;0,876385459
85,719;0,876385459
91,349;0,876385459
92,491;0,876385459
288,83;0,876385459
329,074;0,876385459
88,481;0,876385459
89,143;0,876385459
90,208;0,876385459
351,401;0,876385459
94,966;0,876385459
84,966;0,876385459
93,384;0,876385459
279,924;0,876385459
63,386;0,876385459
105,327;0,876385459
91,239;0,876385459
91,03;0,831056171
89,598;0,831056171
89,509;0,831056171
89,882;0,831056171
91,738;0,876385459
83,177;0,876385459
89,266;0,876385459
92,813;0,831056171
95,843;0,831056171
546,367;0,831056171
91,358;0,831056171
87,825;0,831056171
91,866;0,876385459
49,635;0,79470071
70,664;0,79470071
51,909;0,79470071
48,728;0,79470071
49,773;0,79470071
49,027;0,79470071
43,736;0,79470071
89,607;0,831056171
89,214;0,831056171
97,543;0,831056171
86,462;0,831056171
88,241;0,831056171
91,77;0,831056171
88,251;0,831056171
91,663;0,831056171
88,18;0,831056171
91,596;0,831056171
88,343;0,831056171
91,57;0,831056171
88,325;0,831056171
88,278;0,831056171
91,302;0,831056171
88,173;0,831056171
91,24;0,831056171
88,079;0,831056171
91,193;0,831056171
88,148;0,831056171
91,139;0,831056171
89,075;0,831056171
89,021;0,831056171
90,832;0,831056171
88,133;0,831056171
72,113;0,831056171
73,505;0,831056171
180,68;0,831056171
60,47;0,831056171
85,517;0,794867449
156,782;0,794867449
62,854;0,748349525
14,624;0,748349525
57,505;0,748349525
57,442;0,748349525
62,038;0,748349525
50,559;0,748349525
59,585;0,748349525
59,162;0,748349525
107,952;0,748349525
54,252;0,748349525
53,97;0,748349525
53,705;0,748349525
61,063;0,794867449
90,314;0,794867449
147,262;0,794867449
89,699;0,794867449
93,338;0,794867449
93,538;0,831056171
87,55;0,831056171
97,036;0,831056171
16,06;0,748349525
0,24;0,67868237
0,503;0,67868237
0,503;0,67868237
